leg,journee,date,match,win_type,score,available,winner
First Leg,21,30 novembre 2025,MARSEILLE - GAP,,,yes,
First Leg,22,2 décembre 2025,GAP - ROUEN,,,yes,
First Leg,22,2 décembre 2025,BRIANCON - ANGERS,,,yes,
First Leg,22,2 décembre 2025,CHAMONIX - NICE,,,yes,
First Leg,22,2 décembre 2025,AMIENS - CERGY,,,yes,
First Leg,22,2 décembre 2025,ANGLET - MARSEILLE,,,yes,
Second Leg,23,5 décembre 2025,ROUEN - ANGLET,,,yes,
Second Leg,23,5 décembre 2025,GRENOBLE - CHAMONIX,,,yes,
Second Leg,23,5 décembre 2025,NICE - GAP,,,yes,
Second Leg,23,5 décembre 2025,MARSEILLE - BORDEAUX,,,yes,
Second Leg,23,5 décembre 2025,ANGERS - BRIANCON,,,yes,
Second Leg,23,5 décembre 2025,CERGY - AMIENS,,,yes,
Second Leg,24,7 décembre 2025,ANGLET - BRIANCON,,,yes,
Second Leg,24,7 décembre 2025,AMIENS - GRENOBLE,,,yes,
Second Leg,24,7 décembre 2025,ANGERS - MARSEILLE,,,yes,
Second Leg,24,7 décembre 2025,GAP - CERGY,,,yes,
Second Leg,25,19 décembre 2025,GRENOBLE - GAP,,,yes,
Second Leg,25,19 décembre 2025,NICE - ANGERS,,,yes,
Second Leg,25,19 décembre 2025,AMIENS - CHAMONIX,,,yes,
Second Leg,25,19 décembre 2025,MARSEILLE - ANGLET,,,yes,
Second Leg,25,19 décembre 2025,CERGY - BORDEAUX,,,yes,
Second Leg,26,21 décembre 2025,ANGLET - NICE,,,yes,
Second Leg,26,21 décembre 2025,GAP - AMIENS,,,yes,
Second Leg,26,21 décembre 2025,ROUEN - MARSEILLE,,,yes,
Second Leg,26,21 décembre 2025,CHAMONIX - BRIANCON,,,yes,
Second Leg,26,21 décembre 2025,BORDEAUX - GRENOBLE,,,yes,
Second Leg,26,21 décembre 2025,ANGERS - CERGY,,,yes,
Second Leg,27,23 décembre 2025,GAP - CHAMONIX,,,yes,
Second Leg,27,23 décembre 2025,GRENOBLE - ANGERS,,,yes,
Second Leg,27,23 décembre 2025,NICE - ROUEN,,,yes,
Second Leg,27,23 décembre 2025,AMIENS - BORDEAUX,,,yes,
Second Leg,27,23 décembre 2025,MARSEILLE - BRIANCON,,,yes,
Second Leg,27,23 décembre 2025,CERGY - ANGLET,,,yes,
Second Leg,28,30 décembre 2025,BRIANCON - NICE,,,yes,
Second Leg,28,30 décembre 2025,ROUEN - CERGY,,,yes,
Second Leg,28,30 décembre 2025,BORDEAUX - GAP,,,yes,
Second Leg,28,30 décembre 2025,CHAMONIX - MARSEILLE,,,yes,
Second Leg,28,30 décembre 2025,ANGERS - AMIENS,,,yes,
Second Leg,28,30 décembre 2025,ANGLET - GRENOBLE,,,yes,
Second Leg,29,2 janvier 2026,GAP - ANGERS,,,yes,
Second Leg,29,2 janvier 2026,GRENOBLE - ROUEN,,,yes,
Second Leg,29,2 janvier 2026,NICE - MARSEILLE,,,yes,
Second Leg,29,2 janvier 2026,AMIENS - ANGLET,,,yes,
Second Leg,29,2 janvier 2026,BORDEAUX - CHAMONIX,,,yes,
Second Leg,29,2 janvier 2026,CERGY - BRIANCON,,,yes,
Second Leg,30,4 janvier 2026,ROUEN - AMIENS,,,yes,
Second Leg,30,4 janvier 2026,CHAMONIX - NICE,,,yes,
Second Leg,30,4 janvier 2026,ANGLET - GAP,,,yes,
Second Leg,30,4 janvier 2026,BRIANCON - GRENOBLE,,,yes,
Second Leg,30,4 janvier 2026,MARSEILLE - CERGY,,,yes,
Second Leg,30,4 janvier 2026,ANGERS - BORDEAUX,,,yes,
Second Leg,31,9 janvier 2026,GAP - ROUEN,,,yes,
Second Leg,31,9 janvier 2026,ANGERS - CHAMONIX,,,yes,
Second Leg,31,9 janvier 2026,AMIENS - BRIANCON,,,yes,
Second Leg,31,9 janvier 2026,BORDEAUX - ANGLET,,,yes,
Second Leg,31,9 janvier 2026,GRENOBLE - MARSEILLE,,,yes,
Second Leg,31,9 janvier 2026,CERGY - NICE,,,yes,
Second Leg,24,11 janvier 2026,CHAMONIX - ROUEN,,,yes,
Second Leg,32,13 janvier 2026,BRIANCON - GAP,,,yes,
Second Leg,32,13 janvier 2026,NICE - GRENOBLE,,,yes,
Second Leg,32,13 janvier 2026,ROUEN - BORDEAUX,,,yes,
Second Leg,32,13 janvier 2026,MARSEILLE - AMIENS,,,yes,
Second Leg,32,13 janvier 2026,ANGLET - ANGERS,,,yes,
Second Leg,32,13 janvier 2026,CERGY - CHAMONIX,,,yes,
Second Leg,33,16 janvier 2026,ANGERS - ROUEN,,,yes,
Second Leg,33,16 janvier 2026,GAP - MARSEILLE,,,yes,
Second Leg,33,16 janvier 2026,CHAMONIX - ANGLET,,,yes,
Second Leg,33,16 janvier 2026,AMIENS - NICE,,,yes,
Second Leg,33,16 janvier 2026,BORDEAUX - BRIANCON,,,yes,
Second Leg,33,16 janvier 2026,GRENOBLE - CERGY,,,yes,
Second Leg,34,18 janvier 2026,BRIANCON - ANGLET,,,yes,
First Leg,22,18 janvier 2026,BORDEAUX - GRENOBLE,,,yes,
Second Leg,34,20 janvier 2026,ROUEN - CHAMONIX,,,yes,
Second Leg,34,20 janvier 2026,GRENOBLE - AMIENS,,,yes,
Second Leg,34,20 janvier 2026,NICE - BORDEAUX,,,yes,
Second Leg,34,20 janvier 2026,MARSEILLE - ANGERS,,,yes,
Second Leg,34,20 janvier 2026,CERGY - GAP,,,yes,
Second Leg,35,23 janvier 2026,ROUEN - BRIANCON,,,yes,
Second Leg,35,23 janvier 2026,GAP - GRENOBLE,,,yes,
Second Leg,35,23 janvier 2026,ANGERS - NICE,,,yes,
Second Leg,35,23 janvier 2026,CHAMONIX - AMIENS,,,yes,
Second Leg,35,23 janvier 2026,BORDEAUX - CERGY,,,yes,
Second Leg,35,23 janvier 2026,ANGLET - MARSEILLE,,,yes,
Second Leg,36,27 janvier 2026,BRIANCON - CHAMONIX,,,yes,
Second Leg,36,27 janvier 2026,NICE - ANGLET,,,yes,
Second Leg,36,27 janvier 2026,AMIENS - GAP,,,yes,
Second Leg,36,27 janvier 2026,MARSEILLE - ROUEN,,,yes,
Second Leg,36,27 janvier 2026,GRENOBLE - BORDEAUX,,,yes,
Second Leg,36,27 janvier 2026,CERGY - ANGERS,,,yes,
Second Leg,37,30 janvier 2026,ROUEN - NICE,,,yes,
Second Leg,37,30 janvier 2026,BRIANCON - MARSEILLE,,,yes,
Second Leg,37,30 janvier 2026,CHAMONIX - GAP,,,yes,
Second Leg,37,30 janvier 2026,BORDEAUX - AMIENS,,,yes,
Second Leg,37,30 janvier 2026,ANGERS - GRENOBLE,,,yes,
Second Leg,37,30 janvier 2026,ANGLET - CERGY,,,yes,
First Leg,19,5 février 2026,ROUEN - ANGERS,,,yes,
Second Leg,38,6 février 2026,NICE - BRIANCON,,,yes,
Second Leg,38,6 février 2026,GRENOBLE - ANGLET,,,yes,
Second Leg,38,6 février 2026,GAP - BORDEAUX,,,yes,
Second Leg,38,6 février 2026,AMIENS - ANGERS,,,yes,
